file,prefix_ratio,complete_ratio,absolute_change,complete_to_prefix_factor
dickens,1.0001373291015625,1.000000981,-0.00013634810156260002,0.9998636706204286
mozilla,0.7671966552734375,0.993760269,0.22656361372656253,1.2953136098407685
mr,0.7911834716796875,0.773154558,-0.018028913679687508,0.9772127271043567
nci,1.0001373291015625,1.000000298,-0.00013703110156249032,0.9998629877142117
ooffice,0.9695587158203124,1.000001625,0.030442909179687505,1.0313987267433626
osdb,1.0001373291015625,1.000000992,-0.00013633710156257806,0.9998636816189183
reymont,1.0001373291015625,1.000001509,-0.00013582010156243385,0.999864198547929
samba,1.0001373291015625,1.000000463,-0.00013686610156260492,0.9998631526915553
sao,1.0001373291015625,1.000001379,-0.00013595010156253196,0.9998640685657793
webster,1.0001373291015625,1.000000241,-0.00013708810156254359,0.9998629307220382
x-ray,1.0001373291015625,1.00000118,-0.000136149101562566,0.9998638695931039
xml,1.0001373291015625,1.000001871,-0.00013545810156245786,0.9998645604982226
