corpus,block_size,method,mean_ratio,weighted_ratio
canterbury,256,entropy_oracle_payload,0.96811320114884,0.9414544127190136
canterbury,256,shared_alphabet_hybrid,0.9861737502062655,0.9712496584582807
canterbury,256,huffman_complete,1.123242576234124,1.092563854070608
canterbury,256,rice_complete,1.1824767725183247,1.1505185030226441
canterbury,256,fipb_per_block,1.6279126910618353,1.5849022906064643
silesia_sample,256,entropy_oracle_payload,0.9483108520507812,0.9483108520507812
silesia_sample,256,shared_alphabet_hybrid,0.9607645670572916,0.9607645670572916
silesia_sample,256,huffman_complete,1.0984408060709636,1.0984408060709636
silesia_sample,256,rice_complete,1.1585922241210938,1.1585922241210938
silesia_sample,256,fipb_per_block,1.5954704284667969,1.5954704284667969
